Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hReHaQAK/view"", ""Empresa Nacional de Energia Enex S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dymeOAA/view"", ""Enex - Visualización de Camiones"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OE4WxIAL/view"", ""Enex - Visualización de Camiones en Tiempo Real dentro de una Geocerca (Devaid)"")",,Corporate,MCO CORP SUR,Analytics,3:  Proposal / Negotiation,2026-10-23,2026-11-20,"99,600.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hc3GPQAY/view"", ""Aza"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dyoBOAQ/view"", ""Aza Agentes Devaid IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O0E6qIAF/view"", ""Aza Agentes Devaid IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PaAwKAK/view"", ""ER-494856"")",Corporate,MCO CORP SUR,Build with AI,4.1: Pre Ramp / Mobilize,2026-04-24,2026-05-29,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htuRrQAI/view"", ""Chilquinta Energia S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dxbdOAA/view"", ""Chilquinta Procesamiento de Audios Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Lj8TVIAZ/view"", ""Chilquinta Energia S.A. - GCP - procesamiento audio"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-09,2026-11-13,"68,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001tIBJLQA4/view"", ""Cemento Polpaico S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dxapOAA/view"", ""Polpaico - POC Forecasting AutoML y BigqueryML#SalesCreditPOC"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NwzJ4IAJ/view"", ""Polpaico - POC Forecasting AutoML y BigqueryML#SalesCreditPOC"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000ttroKAA/view"", ""ER-465405"")",Corporate,MCO CORP SUR,Analytics,3:  Proposal / Negotiation,2026-08-31,2026-09-30,"45,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002MvX7JQAV/view"", ""ENTEL CALL CENTER S A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082LGYOA2/view"", ""ENTEL MIGRACION AWS A GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KrDZTIA3/view"", ""Entel Call Center - AWS a GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oT26KAE/view"", ""ER-496228"")",MCO,Chile,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-12-30,2027-03-30,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMjsOQAS/view"", ""Claro Chile S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006ADdbOAG/view"", ""[CLAROVTR] Gemini Enterprise y agentes de datos"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kq6JVIAZ/view"", ""Claro Chile - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000HQXwKAO/view"", ""ER-455879"")",MCO,Chile,Analytics,0-2: Tech Eval/Solution Dev,2026-09-01,2027-01-01,"200,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHigMQAS/view"", ""Sociedad Austral de Electricidad S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dumkOAA/view"", ""Winback Frabric - Saesa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Nfs01IAB/view"", ""SAESA Winback Frabric"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-03,2026-12-17,"150,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVrsEQAS/view"", ""Transelec S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dunJOAQ/view"", ""Iniciativas AI Vertex"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NfseKIAR/view"", ""Transelec Iniciativas AI"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PP9sKAG/view"", ""ER-468695"")",Corporate,MCO CORP SUR,Build with AI,4.3: Migrated/Implemented,2026-02-10,2026-04-29,"150,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVrsEQAS/view"", ""Transelec S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dumuOAA/view"", ""Cloud Security Transelec"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NfsGrIAJ/view"", ""Transelec Cloud Security"")",,Corporate,MCO CORP SUR,Security,0-2: Tech Eval/Solution Dev,2026-10-19,2026-11-25,"105,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHigMQAS/view"", ""Sociedad Austral de Electricidad S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dunEOAQ/view"", ""Vertex AI"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NfsYqIAJ/view"", ""SAESA  iniciativas Vertex AI"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-20,2026-12-20,"75,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htvUVQAY/view"", ""Gasco GLP S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tJwqOAE/view"", ""[Gasco] Chatbot- Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhfyNIAR/view"", ""Gasco GLP S.A. - Google Cloud Platform (Devaid AS)"")",,MCO,Chile,Build with AI,4.3: Migrated/Implemented,2026-03-16,2026-04-17,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHlfdQAC/view"", ""CGE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tJ0sOAE/view"", ""CGE - Regulatorio Imagenes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Mz9KcIAJ/view"", ""CGE Regulatorio Imagenes"")",,Corporate,MCO CORP SUR,Build with AI,4.3: Migrated/Implemented,2026-03-31,2026-06-26,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000018MxGlIAK/view"", ""Empresas SB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006Mc6iOAC/view"", ""[DBS] - Gobierno de datos con Dataplex"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000MN6IqIAL/view"", ""DBS - Gobierno de Datos"")",,MCO,Chile,Analytics,4.3: Migrated/Implemented,2025-10-17,2026-01-19,"10,000.00"
