Partner Name,Customer Account Name,Account Tier,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZDZ6OAO/view"", ""Danper - Migracion SQL Server to AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P9UHyIAN/view"", ""Danper - Migracion SQL Server to AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004G1HKAU/view"", ""ER-478660"")",MCO,EM (PE/EC),Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-09-30,2026-11-20,"18,364.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVM5dQAG/view"", ""Banco de Chile"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZCZAOA4/view"", ""[BCH] - DM - Real-time queries with Spanner / Pricing tool with AlloyDB #GOLD"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P6S3zIAF/view"", ""Banco de Chile - Spanner para consultas en línea a sistemas internos y tarifario #GOLD"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PSfrKAG/view"", ""ER-477068"")",MCO,Chile,Migrate and Modernize Databases,4.2: Ramping / Deliver,2026-06-01,2026-12-02,"116,700.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSz4IQAS/view"", ""CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009td7IOAQ/view"", ""FY26 #Comfama #Bigquery #Datos Limpios"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OnoI1IAJ/view"", ""FY26-Q2 #Outbound #Comfama #Bigquery #Datos Limpios"")",,Corporate,MCO CORP NORTE,Analytics,3:  Proposal / Negotiation,2026-09-17,2026-12-17,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCArOAM/view"", ""infraestructura Tenpo Banking"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oo2JEIAZ/view"", ""Tenpo Banking Infraestructure"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-08,2026-12-30,"380,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCCJOA2/view"", ""Mambu on GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oo2K2IAJ/view"", ""Mambu en GCP"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-10-15,2026-12-29,"300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCGGOA2/view"", ""Gemini Enterprise Full Tenpo"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oo66xIAB/view"", ""Gemini Enterprise Tenpo"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-01,2026-11-19,"70,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lSboRQAS/view"", ""Willax Television"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcjuOAA/view"", ""Willax Wong | Migración SAC a BQ"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op9xrIAB/view"", ""Willax Wong  | Commit 3Y FY26-FY29"")",,Corporate,MCO CORP CCA,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-07-15,2026-10-15,"25,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiPL6QAM/view"", ""BANCO MUNDO MUJER SA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcVsOAI/view"", ""FY26Q2 #Banco Mundo Mujer #Gemini Enterprise #Iniciativas de IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OmpFZIAZ/view"", ""FY26Q2 #Outbound #Banco Mundo Mujer #Gemini Enterprise #Iniciativas de IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PR5iKAG/view"", ""ER-473320"")",Corporate,MCO CORP NORTE,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-28,2026-10-08,"84,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002789JPQAY/view"", ""Empresas Iansa S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tbuDOAQ/view"", ""IANSA - SAP DataLake"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JLbvzIAD/view"", ""Iansa Commit 3 años"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PZqNKAW/view"", ""ER-494097"")",Corporate,MCO CORP SUR,Analytics,4.2: Ramping / Deliver,2026-06-29,2026-10-30,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVyLmQAK/view"", ""Cooperativa del Personal de la Universidad de Chile Ltda"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082SNbOAM/view"", ""Copeuch - WL Gem.Enterprise - Axmos"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N5v1OIAR/view"", ""Copeuch - Gemin Enterprise - Axmos"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-10,2026-11-30,"40,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RRZSjQAP/view"", ""Grupo Celima Trebol"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082R4sOAE/view"", ""Celima | Data Analytics BQ"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OSjrAIAT/view"", ""grupo Celima#GCP #Data Analitica"")","ER-496430, ER-506715",Corporate,MCO CORP CCA,Analytics,0-2: Tech Eval/Solution Dev,2026-11-30,2026-12-31,"50,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiRKRQA2/view"", ""CAJA DE COMPENSACION FAMILIAR CAFAM"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082OfROAU/view"", ""CAFAM Analitica"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oes0XIAR/view"", ""CAFAM Analitica"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000HRH1KAO/view"", ""ER-458898"")",MCO,Colombia,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-09-30,2026-12-31,"50,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tTLoOAM/view"", ""Centria/Rimac - Seguridad de agentes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PVXRKA4/view"", ""ER-484168"")",MCO,EM (PE/EC),Build with AI,4.2: Ramping / Deliver,2026-09-14,2026-09-28,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hdHkfQAE/view"", ""Intercorp Peru Ltd."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082N5NOAU/view"", ""dataoffice intercorp agentes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N5gZPIAZ/view"", ""Dataoffice Intercorp - AI agentes"")",,MCO,EM (PE/EC),Analytics,0-2: Tech Eval/Solution Dev,2026-08-31,2027-05-30,"480,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202KgkQAE/view"", ""KOBA Colombia SAS"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dzbZOAQ/view"", ""D1 - DB Switch transaccional Cloud SQL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OFLDuIAP/view"", ""D1 - DB Switch transaccional Cloud SQL"")","ER-463641, ER-471053",MCO,Colombia,Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-08-12,2026-11-10,"40,428.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMkjuQAC/view"", ""Compania de Seguros de Vida Camara S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009dwUmOAI/view"", ""Open Business Platform"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000dAoJlQAK/view"", ""Compania de Seguros de Vida Camara S.A. / $1.7M TCV / 3 YR"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2024-07-09,2024-07-15,"78,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tNaEOAU/view"", ""Tenpo - Datalake growth"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000J8anyIAB/view"", ""Tenpo Enterprise Agreement 3 Yrs  - Axmos (Azure Migration + Workspace) #DMTOOLKIT"")",,Corporate,MCO CORP SUR,Analytics,4.3: Migrated/Implemented,2026-04-01,2026-05-07,"130,000.00"
