Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoKHfQAM/view"", ""Embotelladora Andina SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ojIrOAI/view"", ""SAP Modernization"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KqW7fIAF/view"", ""KoAndina - Recommit SAP #SAP CAP #GCBDR"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-04-06,2026-06-30,"800,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009e1HpOAI/view"", ""Modelos Financieros y Gestión de Clientes (Fase 2)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")",,MCO,Chile,Analytics,4.3: Migrated/Implemented,2026-02-28,2026-05-29,"144,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hboG9QAI/view"", ""Watt's S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082LFGOA2/view"", ""WATTS MIGRACION ONPREM A GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NwImSIAV/view"", ""Watts - New Commit 900k 3Yrs #SAP CAP"")",,MCO,Chile,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-11-30,2027-01-30,"130,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hboG9QAI/view"", ""Watt's S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082L8KOAU/view"", ""[WATTS] BigQuery consumption - SAP/Oracle DW"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NwImSIAV/view"", ""Watts - New Commit 900k 3Yrs #SAP CAP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000Pa9ZKAS/view"", ""ER-494815"")",MCO,Chile,Analytics,4.1: Pre Ramp / Mobilize,2026-09-01,2026-11-01,"40,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002BiWXqQAN/view"", ""Redbanc SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tMT2OAM/view"", ""[Redbanc] - DM - Oracle and MariaDB Modernization to Cloud SQL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000bDxRSQA0/view"", ""Redbanc S.A. / 2894229 TCV / 4 YR #DMTOOLKIT"")","ER-442670, ER-467600",MCO,Chile,Migrate and Modernize Databases,4.2: Ramping / Deliver,2026-05-15,2026-12-31,"10,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hgtNQQAY/view"", ""Masisa S.A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MbB8OAK/view"", ""Migration to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JOMnGIAX/view"", ""Masisa S.A - Infrastructure (Tivit)#SAPCAP"")","ER-426368, ER-413372",MCO,Chile,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-02-27,2026-09-30,"370,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002BiWXqQAN/view"", ""Redbanc SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082EU9OAM/view"", ""Redbanc - Super KAM Agentes AI (Turingears)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000bDxRSQA0/view"", ""Redbanc S.A. / 2894229 TCV / 4 YR #DMTOOLKIT"")",,MCO,Chile,Build with AI,4.3: Migrated/Implemented,2025-06-26,2025-10-13,"10,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oWIrOAM/view"", ""Agentspace"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JfQ4dIAF/view"", ""Abastible - Agentspace #150 seats"")",,MCO,Chile,Build with AI,4.3: Migrated/Implemented,2025-07-10,2025-08-01,"52,250.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZ5cOAG/view"", ""Abastible - SAP Migration to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-10-24,2026-02-01,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZ16OAG/view"", ""GCVE Solgas"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")","ER-440188, ER-454490",MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-10-13,2025-10-20,"192,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kQ3EKQA0/view"", ""Caja de Compensacion de Asignacion Familiar Los Heroes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t5I3OAI/view"", ""[CCLH] - Infra - Alfresco to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000c0EGVQA2/view"", ""Caja Los Heroes - Move to Cloud GCP"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-07-01,2025-08-20,"90,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hgtNQQAY/view"", ""Masisa S.A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oTvHOAU/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZPh1IAH/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")","ER-387963, ER-467909",MCO,Chile,Migrate and Modernize Databases,3:  Proposal / Negotiation,2027-01-28,2027-06-30,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoLAdQAM/view"", ""Codelco"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t1wTOAQ/view"", ""[Codelco] SAP Historico"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh8reIAB/view"", ""SAP Historico Codelco - Tivit"")","ER-426186, ER-428553, ER-463172",MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-06-30,2026-07-31,"249,000.00"
